0.001,100,0.10439167962663132,0.012028187993777683,0.008678100009768014
0.005,100,0.43225726708025014,0.04573319970802069,0.029834113231822078
0.01,100,0.6951206934840981,0.0686085541811401,0.03878003956381343
0.05,100,1.089969183119605,0.1120068686565904,0.017997804355818103
0.1,100,1.0964316878594287,0.12436207434991409,0.005657641165431511
0.5,100,1.0964608113924048,0.12861719390874368,0.001402522311192167
1,100,1.096460811392405,0.1286172323233758,0.001402483896555741
5,100,3.5496214082363946e+71,-1.8572347806572046e+87,-1.857234780657204e+87
10,100,5.80020417345641e+104,-1.3061206571859405e+120,-1.3061206571859397e+120
0.3,40,1.096460113297104,0.12635745066249685,0.0036622655574158197
